Agency,Contract Number,Caption,Award Amount,Base Contract Period,Multi Year,Option Yrs.Remaining,Market Type,NFP,LSDBE,Vendor Name
D.C. DEPARTMENT OF HUMAN RESOURCES,CW6390,Vision Care Services Plan for District Employees,987808,12/10/2010 -                    12/9/2011,No,Base Period,Open,No,,QUALITY PLAN ADMINISTRATORS
D.C. DEPARTMENT OF HUMAN RESOURCES,CW8792,"Dental Serices for District Employees,DCBE-2009-C-0002, CIGNA Dental",4307286,12/31/2010 -                    12/30/2011,No,Base Period,Open,No,,CONNECTICUT GENERAL LIFE INS.
D.C. DEPARTMENT OF HUMAN RESOURCES,CW8618,"Health Insurance Plan-MD-Individual Pratice Ass., DCBE-2008-D-0049-A03",35095434.92,12/31/2010 -                    12/30/2011,No,Base Period,Open,No,,MD DOCTORS INDIVIDUAL PRACTICE
D.C. DEPARTMENT OF HUMAN RESOURCES,CW2230,Employee Assistance Program Services,427923,6/28/2011 -                    6/27/2012,No,Option 2,Open,No,,COPE INC
D.C. DEPARTMENT OF HUMAN RESOURCES,CW9223,Employee Assistance Program Services - Department of Human Resources,427923,6/28/2011 -                    6/27/2012,No,Base Period,Open,No,,COPE INC
D.C. DEPARTMENT OF HUMAN RESOURCES,CW12511,DCBE-2009-C-0054 George Washington CPM,132963,9/30/2011 -                    9/29/2012,No,Base Period,Set Aside,No,,GEORGE WASHINGTON UNIVERSITY -
D.C. DEPARTMENT OF HUMAN RESOURCES,CW6390,Vision Care Services Plan for District Employees,987808,12/10/2011 -                    12/9/2012,No,Option 1,Open,No,,QUALITY PLAN ADMINISTRATORS
D.C. DEPARTMENT OF HUMAN RESOURCES,CW13941,Group Life Insurance and Disability Plans,903549,2/29/2012 -                    10/30/2012,No,Base Period,Set Aside,No,,STANDARD INSURANCE COMPANY
D.C. DEPARTMENT OF HUMAN RESOURCES,CW9223,Employee Assistance Program Services - Department of Human Resources,431893,6/28/2012 -                    6/27/2013,No,Option 1,Open,No,,COPE INC
D.C. DEPARTMENT OF HUMAN RESOURCES,CW17263,DCHR Transformation and Assessement Services,248220,8/23/2012 -                    8/22/2013,No,Base Period,Open,No,,AON CONSULTING
D.C. DEPARTMENT OF HUMAN RESOURCES,CW6390,Vision Care Services Plan for District Employees,890425,12/12/2012 -                    12/11/2013,No,Option 2,Open,No,,QUALITY PLAN ADMINISTRATORS
D.C. DEPARTMENT OF HUMAN RESOURCES,CW20055,Employee Health Benefits for District  Employs with Kaiser Foundation Health Plan,107182172.65,12/31/2012 -                    12/30/2013,No,Base Period,Open,No,,KAISER FOUND HLTH PLAN OF MID
D.C. DEPARTMENT OF HUMAN RESOURCES,CW20050,Employee Health Benefits,190289037.38,1/2/2013 -                    1/1/2014,No,Base Period,Open,No,,AETNA LIFE INSURANCE COMPANY
D.C. DEPARTMENT OF HUMAN RESOURCES,CW20106,Group Term and  Short and Long Term Life Insurance,9039778.68,1/2/2013 -                    1/1/2014,No,Base Period,Open,No,,STANDARD INSURANCE COMPANY
D.C. DEPARTMENT OF HUMAN RESOURCES,CW20852,DCBE-2013-F-1515-Executive Search Services,81000,3/8/2013 -                    9/30/2013,No,Base Period,Open,No,,Krauthamer & Associates Inc
D.C. DEPARTMENT OF HUMAN RESOURCES,CW17263,DCHR Transformation and Assessement Services,189298,8/24/2013 -                    8/23/2014,No,Option 1,Open,No,,AON CONSULTING
D.C. DEPARTMENT OF HUMAN RESOURCES,CW27301,DCBE-2012-C-0467,9039778.68,1/1/2014 -                    12/31/2014,No,Option 1,Open,No,,STANDARD INSURANCE COMPANY
D.C. DEPARTMENT OF HUMAN RESOURCES,CW20050,Employee Health Benefits,190984805.18,1/1/2014 -                    12/31/2014,No,Option 1,Open,No,,AETNA LIFE INSURANCE COMPANY
D.C. DEPARTMENT OF HUMAN RESOURCES,CW20055,Employee Health Benefits for District  Employs with Kaiser Foundation Health Plan,107182172.65,1/1/2014 -                    12/31/2014,No,Option 1,Open,No,,KAISER FOUND HLTH PLAN OF MID
D.C. DEPARTMENT OF HUMAN RESOURCES,CW20106,Group Term and  Short and Long Term Life Insurance,9039778.68,1/1/2014 -                    12/31/2014,No,Option 1,Open,No,,STANDARD INSURANCE COMPANY
D.C. DEPARTMENT OF HUMAN RESOURCES,CW20108,Health Benefits for District Employees with United Health Care,60782537.4,1/1/2014 -                    12/31/2014,No,Base Period,Open,No,,United Healthcare Insurance Company
D.C. DEPARTMENT OF HUMAN RESOURCES,CW2239,PayFlex Systems USA,100000,1/1/2014 -                    12/31/2014,No,Option 4,Open,No,,"PAYFLEX SYSTEMS USA, INC."
D.C. DEPARTMENT OF HUMAN RESOURCES,CW17099,HEALTH INSURANCE - DC EMPLOYEE - UNITED HEALTH,60782499.36,1/2/2014 -                    1/1/2015,No,Base Period,Open,No,,United Healthcare Insurance Company
D.C. DEPARTMENT OF HUMAN RESOURCES,CW26094,DCBE-2013-C-0199 - Dental Services for D. C. Employees,8477497,2/1/2014 -                    12/31/2014,No,Base Period,Open,No,,Cigna
D.C. DEPARTMENT OF HUMAN RESOURCES,CW29517,DCBE-2014-C-0159 - Employee Assistance Services Program,241020,6/23/2014 -                    6/22/2015,No,Base Period,Open,No,,Inova Health Care Services
D.C. SENTENCING & CRIM. CODE REV. COMM.,CW19533,SCCRC Data system - Brueprint Consulting,825379.94,12/23/2012 -                    12/22/2013,No,Base Period,Open,No,,"Blueprint Consulting Services, LLC"
DC  Department of the Environment,DCKG-2009-C-7983,Lucretia.Brown@dc.gov,134675,3/9/2010 -                    9/9/2010,No,Base,Open,No,No,Rhithron Associates Inc
DC  Fire and Emergency Medical Services,DCTO-2009-C-0189,Information Technology,334000,9/23/2009 -                    9/22/2010,No,base,Sole Source,No,No,Zoll Data Systems Inc
DC Child and Family Services Agency,CFSA-10-C-0135,Psychiatric Residential Treatment Center,444570,4/1/2014 -                    3/31/2015,No,Option Year 4,Open,No,,University Behavioral Center
DC Child and Family Services Agency (CFSA),CFSA-10-C-0134,Psychiatric Residential Treatment Center,148190,4/1/2014 -                    3/31/2015,No,Option Year 4,Open,No,,University Behavioral Center
DC Child and Family Services Agency (CFSA),CFSA-10-C-0133,Psychiatric Residential Treatment Center,296380,4/1/2014 -                    3/31/2015,No,Option Year 4,Open,No,,University Behavioral Center
DC Child and Family Services Agency (CFSA),CFSA-10-C-0132,Psychiatric Residential Treatment Center,889140,4/1/2014 -                    3/31/2015,No,Option Year 4,Open,No,,University Behavioral Center
DC Child and Family Services Agency (CFSA),CFSA-10-C-0131,Psychiatric Residential Treatment Center,411720,4/1/2014 -                    3/31/2015,No,Option Year 4,Open,No,,Adventist Health Care
DC Child and Family Services Agency (CFSA),CFSA-10-C-0174,Family Based Foster Care,43435,7/1/2014 -                    6/30/2015,No,Option Year 4,Open,No,,Mentor Maryland
DC Commission on National and Community Service,PO-AA-2003-C-0068,Volunteer Management and Delivery of Community Emergency Response Team (CERT) Training Courses for District Residents,87124,6/4/2003 -                    6/3/2004,No,Base,Open,Yes,No,"George Washington University Medical Center, Ronald Reagan Institute of Emergency Medicine"
DC Commission on the Arts and Humanities,DCBX-2009-C-0001,The Condition on Assessment of the Chinatown Friendship Arch,287540,4/28/2009 -                    9/14/2009,No,Base,Open,Yes,No,AEPA Architects Engineers PC
DC Commission on the Arts and Humanities,DCBX-2010-C-2505,Capacity Building Consultation,100200,3/26/2010 -                    10/31/2010,No,Base,Sole Source,No,No,Mary Ann DeBarbieri
DC Energy Office,DCFJ-2004-B-0031,Municipal Aggregation of Electrical Power,41268064,12/20/2004 -                    1/9/2005,Yes,2,Open,No,No,Select Energy Inc
DC Energy Office,DCJF-2001-D-0026,Energy Conservation Supplies and Materials,693181.5,8/9/2005 -                    8/8/2006,No,4,Open,No,Local                                     Small                                     Enterprise Zone,C&E; Services Inc of Washington
DC Government Preparedness,HLS-2006-DC-0005,Homeland Security Project Management Support,219108,5/15/2006 -                    5/14/2007,No,Base,Open,No,Local                                     Small                                     Resident,Susan Fitzgerald and Associates and Associates Inc
DC Government Preparedness,HLS-2006-DC-0005-A,Homeland Security Project Management Support,480500,5/15/2006 -                    5/14/2007,No,Base,Open,No,Local                                     Small                                     Disadvantaged                                     Resident,Telecommunications Development Corporation
DC Health Benefit Exchange,Doc94858C,District of Columbia Health Benefit Exchange Working Group Support,100000,2/15/2013 -                    9/30/2013,No,Base Year,Emergency,No,,Logistics Management Institute
DC Health Benefit Exchange,Doc94858B,District of Columbia Health Benefit Exchange Working Group Support,100000,2/15/2013 -                    9/30/2013,No,Base Year,Emergency,No,,Richard Sorian
DC Health Benefit Exchange,Doc94858D,District of Columbia Health Benefit Exchange Working Group Support,100000,2/15/2013 -                    9/30/2013,No,Base Year,Emergency,No,,"Wakely Consulting Group, Inc."
DC Health Benefit Exchange,Doc94858E,District of Columbia Health Benefit Exchange Working Group Support,100000,2/15/2013 -                    9/30/2013,No,Base Year,Emergency,No,,Mary Elizabeth Senkewicz
DC Metropolitan Police Department,DCTO-2008-C-0041,Special Education Data System,4329236,2/26/2008 -                    2/25/2010,No,Base,Open,No,No,Public Consulting Group
DC Metropolitan Police Department,DCTO-2008-C-0024/PO252149,Learning Management Software Application for DC MPD,136357,2/29/2008 -                    2/28/2009,No,Base,Open,No,Local                                     Small                                     Disadvantaged                                     Resident                                     Enterprise Zone,Vantix Inc
DC Metropolitan Police Department,GS-35F-5054H/PO255088,Police Officer Scheduling System (POSS),245978,3/31/2008 -                    3/30/2009,No,Base,GSA,No,No,Software AG Inc
DC Metropolitan Police Department,PO252041,Columbo and WACIIS Administration and Support,475384,4/1/2008 -                    9/30/2008,No,Base,GSA,No,No,Yellow House Associates
DC Office of Personnel,DCBE-2001-T-0038,Personal Computer Application Training,151528.63,3/2/2004 -                    9/30/2004,Yes,2,GSA,No,No,Knowlogy Corporation
DC Office of Risk Management,DCRK-2008-C-0056,District of Columbia Owned Captive Insurance Company,99900,5/5/2008 -                    5/4/2009,No,Base,Open,No,No,Aon Risk Services Inc of Washington DC
DC Office of Risk Management,DCRK-2008-C-0056,District of Columbia Owned Captive Insurance Company,80000,5/6/2009 -                    5/5/2010,No,1,Open,No,No,Aon Risk Services Inc of Washington DC
DC Office of the Attorney General,DCSS-2007-D-96130-15-S,Temporary Staffing Services,697144.6,6/2/2009 -                    6/1/2010,No,1,DCSS,No,Local                                     Small,NRI Inc
DC Preparedness Contracting Office,FA0P2000832,Blanket Purchase Agreement Body Armor,174876,6/6/2002 -                    7/6/2002,No,Base,GSA,No,No,Point Blank Body Armor Inc
DC Preparedness Contracting Office,FA0P2000770,"Program Management, IT/OQA Support",441336.87,6/10/2002 -                    9/30/2002,No,Base,GSA,No,No,Winbourne & Costas Inc
DC Preparedness Contracting Office,FA0P200893,Heater Meal - PKS Varied Assortment,113802.68,7/3/2002 -                    8/3/2002,No,Base,Open,No,No,Heater Meals Inc
DC Preparedness Contracting Office,FA0P2001023,Breathing Apparatus and SCBA Equipment,999789.48,8/1/2002 -                    9/27/2002,No,Base,GSA,No,No,Scott Health and Safety Inc
DC Preparedness Contracting Office,FA0P2001078,Large Rescue Vehicle,497563,9/20/2002 -                    7/15/2003,No,Base,Open,No,No,American Fire Equipment
DC Preparedness Contracting Office,BN0P22-239,EMA Field Response/Community Outreach Vehicle,349940,9/24/2002 -                    1/1/2003,No,Base,GSA,No,No,North American Catastrophe Service Inc
DC Preparedness Contracting Office,FA0P3000033,Tychem Level A Gas Tight Suits,101209.1,10/21/2002 -                    11/21/2002,No,Base,Open,No,No,Safeware Inc
DC Preparedness Contracting Office,GS-29F-0007M,Furnishings & Equipment for New DOH Emergency Operation Center,516898.06,1/29/2003 -                    2/28/2003,No,Base,GSA,No,Local                                     Small                                     Disadvantaged,The Branlik Strategy Group
DC Preparedness Contracting Office,KT0P3700411,Protective Clothing,115944.55,3/21/2003 -                    9/30/2003,No,Base,GSA,No,No,Super Nova
DC Preparedness Contracting Office,KT0P3700463,Heavy Duty 20 Cubic Yard Open Containers,32950,4/16/2003 -                    9/30/2003,No,Base,Open,No,No,THC- Enterprises Inc/Mid Atlantic (Waste Systems)
DC Preparedness Contracting Office,FAOP3000802,RAD 60 Alarming Dosimeters with Accessories,123905,5/23/2003 -                    9/30/2003,No,Base,Open,No,No,Laurus System Inc
DC Preparedness Contracting Office,FAOP3-884,"BDU pants, shirts and hats",318000,6/11/2003 -                    9/30/2003,No,Base,Open,No,Local,Morgans Inc t/a Jimmie Muscatellos
DC Preparedness Contracting Office,HCOP3200992,Gator 4x2 Utility Cart Med Bed Units,36336.68,6/11/2003 -                    7/14/2003,No,Base,Open,No,No,Skyland Equipment Co Inc
DC Preparedness Contracting Office,FAOP3-838,John Deer 6x4,27968,6/11/2003 -                    7/25/2003,No,Base,Open,No,No,Gardiner Outdoor Products
DC Preparedness Contracting Office,FAOP3-857,Training Suits for Level B,40000,6/11/2003 -                    9/30/2003,No,Base,Open,No,No,Super Nova
DC Preparedness Contracting Office,FAOP3-878,"Tyvek F Suits, Gloves, Boots, Chemical Bag and Duct Tape",70879,6/11/2003 -                    7/13/2003,No,Base,Open,Yes,No,Super Nova
